                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.0555,                0.48918,                0.92661,                0.98739,                0.97326,                 0.9928,                 0.7205,                 1.0625,                0.42747,                0.93359,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0587,                0.49203,                0.92876,                0.98446,                0.97293,                  0.993,                0.72195,                 1.0564,                0.42724,                0.93222,              0.0002378,              0.0002378,              0.0002378
                     91,                  1.063,                0.46261,                0.94769,                0.98509,                0.97401,                0.99283,                0.72012,                 1.0593,                0.42755,                 0.9328,               0.000218,               0.000218,               0.000218
                     92,                 1.0343,                0.44872,                0.93733,                0.98543,                0.97581,                0.99311,                0.72421,                 1.0547,                0.42478,                0.93132,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0298,                0.44469,                0.93659,                0.98605,                0.97552,                0.99311,                0.72552,                 1.0554,                0.42445,                0.93052,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0271,                0.44542,                0.93792,                0.98712,                0.97639,                0.99312,                0.72565,                 1.0535,                0.42379,                0.92994,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0271,                 0.4431,                0.93335,                0.98514,                0.97399,                0.99309,                0.72769,                 1.0522,                0.42063,                0.92971,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0244,                0.44209,                0.93425,                0.98677,                0.97525,                 0.9933,                0.72759,                 1.0493,                0.42014,                0.92816,               0.000119,               0.000119,               0.000119
                     97,                 1.0172,                 0.4385,                0.93127,                0.98535,                 0.9773,                0.99306,                0.72592,                 1.0478,                0.42013,                0.92834,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0166,                0.43807,                0.93138,                0.98489,                0.97809,                0.99321,                  0.726,                 1.0512,                0.41977,                0.92868,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0139,                 0.4371,                0.93115,                0.98483,                0.97749,                 0.9933,                  0.727,                 1.0486,                0.41799,                0.92774,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0099,                0.43549,                0.92943,                0.98648,                0.97588,                0.99329,                0.72853,                 1.0478,                0.41775,                0.92725,               3.98e-05,               3.98e-05,               3.98e-05
